Date,Close
1/2/20,28869
1/3/20,28635
1/6/20,28703
1/7/20,28584
1/8/20,28745
1/9/20,28957
1/10/20,28824
1/13/20,28907
1/14/20,28940
1/15/20,29030
1/16/20,29298
1/17/20,29348
1/21/20,29196
1/22/20,29186
1/23/20,29160
1/24/20,28990
1/27/20,28536
1/28/20,28723
1/29/20,28734
1/30/20,28859
1/31/20,28256
2/3/20,28400
2/4/20,28808
2/5/20,29291
2/6/20,29380
2/7/20,29103
2/10/20,29277
2/11/20,29276
2/12/20,29551
2/13/20,29423
2/14/20,29398
2/18/20,29232
2/19/20,29348
2/20/20,29220
2/21/20,28992
2/24/20,27961
2/25/20,27081
2/26/20,26958
2/27/20,25767
2/28/20,25409
3/2/20,26703
3/3/20,25917
3/4/20,27091
3/5/20,26121
3/6/20,25865
3/9/20,23851
3/10/20,25018
3/11/20,23553
3/12/20,21201
3/13/20,23186
3/16/20,20189
3/17/20,21237
3/18/20,19899
3/19/20,20087
3/20/20,19174
3/23/20,18592
3/24/20,20705
3/25/20,21201
3/26/20,22552
3/27/20,21637
3/30/20,22327
3/31/20,21917
4/1/20,20944
4/2/20,21413
4/3/20,21053
4/6/20,22680
4/7/20,22654
4/8/20,23434
4/9/20,23719
4/13/20,23391
4/14/20,23950
4/15/20,23504
4/16/20,23538
4/17/20,24242
4/20/20,23650
4/21/20,23019
4/22/20,23476
4/23/20,23515
4/24/20,23775
4/27/20,24134
4/28/20,24102
4/29/20,24634
4/30/20,24346
5/1/20,23724
5/4/20,23750
5/5/20,23883
5/6/20,23665
5/7/20,23876
5/8/20,24331
5/11/20,24222
5/12/20,23765
5/13/20,23248
