time,data
1,318
2,305.8
3,315.3
4,312.6
5,323.1
6,309.2
7,319.6
8,292.6
9,276.2
10,286.3
11,279.3
12,303.6
13,302.9
14,271.4
15,298.6
16,292.4
17,310.4
18,306.8
19,296
20,284.5
21,279.6
22,298.8
23,287.8
24,314.9
25,316.4
26,291.2
27,319.5
28,317.5
29,327.5
30,311.4
31,303.1
32,307.2
33,292.1
34,296.4
35,293.2
36,315.6
37,312.5
38,282.5
39,314.7
40,303.6
41,315
42,301.5
43,303
44,295.2
45,287.6
46,300.5
47,288.5
48,316.9
49,319
50,296
51,324.2
52,325.1
53,332.5
54,308.5
55,302.7
56,300.4
57,294.4
58,309.2
59,302.6
60,324.2
61,322.3
62,292.2
63,331.5
64,327.6
65,332.5
66,321.4
67,313.9
68,309.9
69,299.7
70,309.7
71,314.5
72,332.8
73,325.5
74,299
75,336.1
76,337.3
77,346.2
78,331.4
79,327.5
80,318.1
81,320.1
82,321
83,312.2
84,338.2
85,339.6
86,306.2
87,339.4
88,325.9
89,332.5
90,315.5
91,324.7
92,311.3
93,299.6
94,321.3
95,324.7
96,336.4
97,339.1
98,322.9
99,343.2
100,342.6
101,354.9
102,339.9
103,345.7
104,343.7
105,325
106,347.4
107,341.6
108,362.5
109,357.2
110,323.4
111,364.4
112,354.8
113,368
114,356.9
115,354.7
116,347.1
117,342.9
118,349.4
119,331.6
120,352.2
