age,job,marital,education,default,balance,housing,loan,contact,day,month,duration
24,services,married,secondary,no,4500,yes,no,cellular,11,may,733
53,entrepreneur,married,secondary,no,-118,yes,no,unknown,9,may,101
42,management,divorced,tertiary,no,401,yes,no,cellular,24,jul,217
32,management,single,tertiary,no,0,no,no,cellular,21,nov,9
33,management,divorced,tertiary,no,0,yes,yes,cellular,19,aug,275
47,technician,married,secondary,no,1990,yes,yes,cellular,25,aug,108
32,management,divorced,tertiary,no,883,yes,no,cellular,10,dec,798
48,blue-collar,married,secondary,no,705,no,no,unknown,13,may,108
33,admin.,married,tertiary,no,79,yes,no,cellular,22,oct,249
57,blue-collar,married,primary,no,282,no,yes,cellular,7,jul,261
40,management,married,tertiary,no,8969,yes,no,cellular,17,nov,153
29,blue-collar,single,secondary,no,-20,no,yes,cellular,21,jul,574
26,services,single,secondary,no,1700,yes,no,cellular,7,may,13
34,blue-collar,married,secondary,no,622,yes,no,unknown,21,may,145
26,technician,single,tertiary,no,1216,yes,no,cellular,16,apr,472
58,unemployed,married,tertiary,no,744,no,no,telephone,28,jan,38
37,admin.,married,secondary,no,7,yes,no,cellular,27,may,224
29,services,married,secondary,no,182,yes,no,telephone,13,may,38
33,technician,married,tertiary,no,8023,no,no,cellular,30,nov,107
34,blue-collar,married,secondary,no,360,yes,no,telephone,19,nov,46
48,admin.,divorced,unknown,no,-70,no,no,cellular,14,may,243
39,blue-collar,married,primary,no,385,yes,no,unknown,16,may,225
30,management,single,tertiary,no,2,no,no,cellular,16,jun,102
53,housemaid,married,primary,no,2581,no,no,cellular,15,apr,99
33,blue-collar,married,secondary,no,889,yes,no,unknown,18,sep,13
46,self-employed,married,secondary,no,548,no,no,cellular,12,aug,1181
48,technician,married,secondary,no,4265,yes,no,unknown,13,may,220
40,services,married,secondary,no,-342,yes,no,unknown,26,may,754
77,retired,divorced,tertiary,no,4659,no,no,cellular,14,apr,161
33,management,single,primary,no,4897,yes,no,unknown,20,may,151
