Date,Baseline Period,Actual Consumption (kWh),Avg WB Temperature (°F),Product A,Product B,Product C,Seasonal Indicator,"Max (AvgWB,55) (°F)",Total Production,Expected Consumption (kWh),Actual Minus Expected (kWh),Cumulative Energy Savings (kWh)
1/1/2014,1000000,53757.39,53.14,135249.76,273359.78,248526.1658,0,55,408609.53,65195.52,11438.13,0
1/2/2014,1000000,47778.01,51.45,0,0,16653.40083,0,55,0,50894.19,3116.17,3116.17
1/3/2014,1000000,70153.83,41.39,147185.53,346725.65,293444.1101,0,55,493911.18,68181.08,-1972.75,1143.42
1/4/2014,1000000,72805.76,35.97,249292.6,349968.46,340708.9425,0,55,599261.06,71868.32,-937.43,205.99
1/5/2014,1000000,70841.87,36.07,245493.57,343220.03,435672.3103,0,55,588713.6,71499.16,657.29,863.28
1/6/2014,1000000,63689.89,43.5,279235.74,0,61385.21509,0,55,279235.74,60667.44,-3022.46,-2159.18
1/7/2014,1000000,57914.31,38.58,141725.3,0,115569.0879,0,55,141725.3,55854.57,-2059.74,-4218.92
1/8/2014,1000000,68507.71,45.24,123323.54,291907.22,369535.1178,0,55,415230.76,65427.26,-3080.45,-7299.37
1/9/2014,1000000,70658.97,52.92,253445.36,413516.11,273053.247,0,55,666961.46,74237.84,3578.87,-3720.5
1/10/2014,1000000,80445.27,60.49,244107.89,422853.57,567444.2093,0,60.49,666961.46,77760,-2685.28,-6405.78
1/11/2014,1000000,74690.57,63.8,218493.89,447646.01,494010.1469,0,63.8,666139.9,79860.05,5169.48,-1236.3
1/12/2014,1000000,75364.6,60.1,226429.94,361699.78,195434.8293,0,60.1,588129.72,74749.5,-615.1,-1851.39
1/13/2014,1000000,65989.45,61.71,211196.53,0,0,0,61.71,211196.53,62591.82,-3397.63,-5249.02
1/14/2014,1000000,69756.1,64.2,48819.94,0,66000.64999,0,64.2,48819.94,58507.92,-11248.18,-16497.2
1/15/2014,1000000,70383.87,61.68,125672.13,282354.26,155879.3555,0,61.68,408026.39,69459.47,-924.4,-17421.6
1/16/2014,1000000,78083.06,65.14,206844.2,403315.68,350869.4391,0,65.14,610159.88,78756.56,673.49,-16748.11
1/17/2014,1000000,73622.7,51.9,188448.17,268950.3,102489.4265,0,55,457398.47,66903.13,-6719.57,-23467.67
1/18/2014,1000000,73158.43,38.78,211829.68,378225.14,279631.9597,0,55,590054.82,71546.1,-1612.33,-25080
1/19/2014,1000000,70104.59,38.39,125636.88,283603.77,341718.4024,0,55,409240.65,65217.61,-4886.99,-29966.99
1/20/2014,1000000,58579.68,42.89,153783.02,0,0,0,55,153783.02,56276.59,-2303.09,-32270.08
1/21/2014,1000000,51788.43,41.1,109586.13,0,159201.414,0,55,109586.13,54729.7,2941.27,-29328.81
1/22/2014,1000000,48409.67,33.87,22335.91,34354.21,117231.3204,0,55,56690.12,52878.34,4468.67,-24860.14
1/23/2014,1000000,61054.67,36.07,104055.45,189886.5,35188.357,0,55,293941.96,61182.15,127.48,-24732.66
1/24/2014,1000000,72759.81,47.03,257943.09,383706.38,359189.9239,0,55,641649.47,73351.92,592.11,-24140.55
1/25/2014,1000000,72292.26,36.86,222966.75,337251.21,288574.988,0,55,560217.95,70501.81,-1790.45,-25930.99
1/26/2014,1000000,67300.79,42.67,183197.2,346274.48,171847.4749,0,55,529471.68,69425.69,2124.9,-23806.09
1/27/2014,1000000,58742.29,41.3,373147.94,0,0,0,55,373147.94,63954.36,5212.07,-18594.02
1/28/2014,1000000,56813.91,47.03,0,0,143219.9152,0,55,0,50894.19,-5919.73,-24513.74
1/29/2014,1000000,67570.22,56.98,128409.02,245961.3,114953.0408,0,56.98,374370.32,65270.15,-2300.07,-26813.81
1/30/2014,1000000,72370.13,61.94,136114.87,385398.05,530182.1622,0,61.94,521512.92,73599.99,1229.85,-25583.96
1/31/2014,1000000,70103.7,37.83,202116.77,406668.67,232921.7938,0,55,608785.44,72201.68,2097.98,-23485.99
2/1/2014,1000000,71580.64,34.55,222576.07,475154.55,319342.7866,0,55,697730.61,75314.76,3734.12,-19751.87
2/2/2014,1000000,69000.02,33.05,148534.74,416236.14,575675.9613,0,55,564770.88,70661.17,1661.14,-18090.73
2/3/2014,1000000,62133.88,41.71,247754.27,0,89428.5496,0,55,247754.27,59565.58,-2568.3,-20659.03
2/4/2014,1000000,53697.12,37.06,25185.77,0,0,0,55,25185.77,51775.69,-1921.43,-22580.46
2/5/2014,1000000,65176.68,46.59,147889.76,221834.64,244945.3336,0,55,369724.39,63834.54,-1342.14,-23922.6
2/6/2014,1000000,69259.61,49.55,160142.07,224814.83,181789.0283,0,55,384956.91,64367.68,-4891.93,-28814.53
